"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","10:17:48","N/A"
"System","4","Services","0","9,424 K","Unknown","N/A","0:06:29","N/A"
"Secure System","188","Services","0","64,500 K","Unknown","N/A","0:00:00","N/A"
"Registry","232","Services","0","63,336 K","Unknown","N/A","0:00:00","N/A"
"smss.exe","764","Services","0","940 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","1044","Services","0","5,008 K","Unknown","N/A","0:00:03","N/A"
"wininit.exe","1156","Services","0","5,252 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","1164","Console","1","6,308 K","Unknown","N/A","0:00:03","N/A"
"winlogon.exe","1252","Console","1","10,356 K","Unknown","N/A","0:00:00","N/A"
"services.exe","1272","Services","0","8,860 K","Unknown","N/A","0:00:09","N/A"
"LsaIso.exe","1308","Services","0","2,728 K","Unknown","N/A","0:00:00","N/A"
"lsass.exe","1324","Services","0","25,940 K","Unknown","N/A","0:00:14","N/A"
"svchost.exe","1468","Services","0","33,896 K","Unknown","N/A","0:00:11","N/A"
"fontdrvhost.exe","1500","Console","1","4,824 K","Unknown","N/A","0:00:00","N/A"
"fontdrvhost.exe","1508","Services","0","2,588 K","Unknown","N/A","0:00:00","N/A"
"WUDFHost.exe","1544","Services","0","13,888 K","Unknown","N/A","0:00:04","N/A"
"svchost.exe","1640","Services","0","17,560 K","Unknown","N/A","0:00:33","N/A"
"svchost.exe","1688","Services","0","7,488 K","Unknown","N/A","0:00:01","N/A"
"WUDFHost.exe","1772","Services","0","9,668 K","Unknown","N/A","0:00:01","N/A"
"dwm.exe","1836","Console","1","178,724 K","Running","N/A","0:02:42","DWM Notification Window"
"svchost.exe","1928","Services","0","4,264 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1952","Services","0","10,628 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1960","Services","0","8,812 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1356","Services","0","10,176 K","Unknown","N/A","0:00:10","N/A"
"WUDFHost.exe","1300","Services","0","6,112 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2008","Services","0","9,080 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2052","Services","0","8,492 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2060","Services","0","13,716 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","2068","Services","0","11,564 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2128","Services","0","7,108 K","Unknown","N/A","0:00:02","N/A"
"svchost.exe","2180","Services","0","5,352 K","Unknown","N/A","0:00:00","N/A"
"IntelCpHDCPSvc.exe","2280","Services","0","4,516 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2300","Services","0","6,724 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2344","Services","0","20,128 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","2384","Services","0","4,500 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2444","Services","0","15,912 K","Unknown","N/A","0:00:02","N/A"
"svchost.exe","2472","Services","0","7,048 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","2732","Services","0","8,824 K","Unknown","N/A","0:00:00","N/A"
"NVDisplay.Container.exe","2792","Services","0","29,288 K","Unknown","N/A","0:00:44","N/A"
"svchost.exe","2744","Services","0","20,824 K","Unknown","N/A","0:00:03","N/A"
"svchost.exe","3084","Services","0","4,792 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","3092","Services","0","18,932 K","Unknown","N/A","0:00:27","N/A"
"svchost.exe","3100","Services","0","6,324 K","Unknown","N/A","0:00:00","N/A"
"Memory Compression","3204","Services","0","250,308 K","Unknown","N/A","0:01:53","N/A"
"svchost.exe","3264","Services","0","9,756 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","3332","Services","0","7,676 K","Unknown","N/A","0:00:01","N/A"
"svchost.exe","3340","Services","0","19,876 K","Unknown","N/A","0:00:03","N/A"
"WUDFHost.exe","3364","Services","0","5,536 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","3428","Services","0","19,016 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","3528","Services","0","15,548 K","Unknown","N/A","0:00:05","N/A"
"svchost.exe","3572","Services","0","7,748 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","3656","Services","0","6,080 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","3724","Services","0","22,272 K","Unknown","N/A","0:00:28","N/A"
"svchost.exe","3756","Services","0","18,648 K","Unknown","N/A","0:00:47","N/A"
"AsusOptimization.exe","3824","Services","0","10,024 K","Unknown","N/A","0:00:01","N/A"
